Unnamed: 0.2,Time_Recorded,CarID,Price,manufacturer,Origin,FE_HW,FE_UR,rpm-max,Horsepower,comp_ratio,Stroke,Bore,fuel_system,Engine-size,cylinders_num,Engine-type,Curb-weight,Height,Width,Length,Wheel_Base,Engine-loc,Drive-wheels-type,vehicle_cat,doors_num,aspiration,fuel,normalized-losses
0,2022-10-06 01:31:12,Car280,9093.0,nimbus,Sweden,28,27,5261.0,115.0,8.98,3.39,3.67,mpfi,143,4,ohc,3040,52.6,66.0,173.1,100.5,front,rwd,sedan,4.0,std,gas,88.0
1,2022-04-01 02:50:06,Car894,8957.0,velox,Japan,33,27,5108.0,77.0,9.28,3.24,3.28,2bbl,99,4,ohc,2940,53.2,64.1,169.5,96.1,front,fwd,wagon,4.0,std,gas,89.0
2,2023-09-15 20:08:06,Car998,13710.0,zenith,France,39,35,4614.0,79.0,20.78,3.3,3.16,idi,102,4,ohc,3011,58.3,66.4,169.3,95.9,front,rwd,sedan,4.0,std,diesel,119.0
3,2021-07-18 19:48:05,Car482,5118.0,velox,Japan,34,31,4931.0,65.0,9.34,3.29,3.11,2bbl,97,4,ohc,1923,55.3,63.9,157.0,96.3,front,fwd,hatchback,4.0,std,gas,100.0
4,2023-07-28 09:33:48,Car352,8746.0,helios,Japan,31,27,4916.0,104.0,8.8,2.8,3.63,2bbl,115,4,ohc,2323,54.6,65.9,168.7,101.9,front,rwd,hatchback,2.0,std,gas,160.0
5,2021-04-21 22:23:36,Car711,16413.0,orion,Germany,26,26,5219.0,115.0,9.77,3.25,3.85,mpfi,154,4,ohc,2785,56.2,67.0,193.4,103.7,front,rwd,sedan,4.0,std,gas,74.0
6,2020-07-21 22:37:37,Car282,9207.0,atlas,Japan,32,26,5433.0,119.0,8.19,3.44,3.19,mpfi,100,4,ohc,2115,53.9,63.5,171.2,94.6,front,fwd,sedan,4.0,std,gas,164.0
7,2019-11-13 21:25:09,Car233,13395.0,helios,Japan,32,21,5112.0,100.0,9.18,3.04,3.5,mpfi,136,4,ohc,2934,55.3,66.0,186.3,98.7,front,rwd,sedan,4.0,std,gas,86.0
8,2023-01-25 23:50:59,Car591,8653.0,velox,Japan,29,25,4626.0,83.0,8.34,3.17,3.6,2bbl,107,4,ohc,2386,55.5,63.8,167.5,95.1,front,4wd,wagon,4.0,std,gas,100.0
9,2022-12-05 14:42:40,Car184,5636.0,helix,Japan,38,32,4911.0,70.0,8.95,2.96,3.13,2bbl,96,4,ohc,2019,54.3,64.0,170.0,94.0,front,fwd,sedan,4.0,std,gas,123.0
10,2019-11-08 05:08:26,Car107,9531.0,atlas,Japan,31,25,5010.0,120.0,8.48,3.43,3.33,2bbl,148,4,ohc,2273,55.4,65.7,175.2,96.3,front,fwd,sedan,4.0,std,gas,120.0
11,2019-05-15 09:41:07,Car336,7233.0,prism,United States,33,28,5658.0,76.0,9.11,3.45,2.98,1bbl,105,4,ohc,2022,50.3,64.0,148.9,95.3,front,fwd,hatchback,2.0,std,gas,145.0
12,2022-09-18 18:06:00,Car349,13581.0,velox,Japan,26,24,5097.0,158.0,8.3,3.46,3.26,mpfi,168,4,ohc,3017,54.3,66.6,172.6,101.8,front,rwd,hatchback,2.0,std,gas,133.0
13,2019-12-26 05:33:09,Car474,9770.0,nexus,Japan,27,22,5534.0,111.0,9.07,3.52,3.24,mpfi,110,4,ohc,2238,51.6,66.0,170.6,97.4,front,fwd,hatchback,2.0,std,gas,126.0
14,2019-07-28 15:05:34,Car251,22396.0,raven,Japan,26,19,5089.0,155.0,8.39,3.4,3.65,mpfi,181,6,ohcv,3309,49.6,68.0,166.2,95.5,front,rwd,hatchback,2.0,turbo,gas,197.0
15,2022-07-09 07:27:57,Car785,19401.0,cipher,United States,26,24,5486.0,113.0,8.5,3.3,3.65,mpfi,158,4,ohc,3371,55.3,64.3,175.3,104.4,front,rwd,sedan,2.0,std,gas,151.0
16,2023-05-22 16:45:40,Car345,9393.0,atlas,Japan,26,24,5718.0,111.0,8.73,3.5,3.1,mpfi,105,4,ohc,2117,51.8,64.9,168.5,99.3,front,fwd,hatchback,2.0,std,gas,159.0
17,2020-02-06 10:32:44,Car762,16439.0,zenith,France,31,30,4536.0,114.0,19.93,3.39,3.7,idi,155,4,l,3145,59.1,68.4,189.3,109.0,front,rwd,sedan,4.0,turbo,diesel,164.0
18,2023-12-17 14:06:07,Car587,44732.0,nimbus,Sweden,23,15,5591.0,223.0,8.98,3.14,3.92,mpfi,199,6,ohc,3154,55.7,66.5,192.9,104.5,front,rwd,sedan,4.0,std,gas,86.0
19,2022-09-20 14:20:15,Car942,16847.0,nimbus,Sweden,24,20,5048.0,111.0,8.83,3.26,3.31,mpfi,126,6,ohc,3198,56.8,68.2,182.1,107.6,front,rwd,sedan,4.0,std,gas,124.0
20,2020-06-01 18:57:35,Car257,8327.0,altair,Japan,37,31,4998.0,73.0,9.05,3.39,3.07,2bbl,102,4,ohc,2027,51.9,63.9,164.8,95.0,front,fwd,sedan,2.0,std,gas,98.0
21,2023-01-19 05:37:41,Car693,6999.0,nexus,Japan,38,30,5985.0,73.0,9.22,3.32,3.04,1bbl,76,4,ohc,2006,50.3,63.5,147.8,91.1,front,fwd,hatchback,2.0,std,gas,139.0
22,2022-04-30 08:46:15,Car429,8812.0,atlas,Japan,25,24,5263.0,122.0,8.2,3.4,3.19,spdi,102,4,ohc,2344,49.0,64.5,174.1,97.3,front,fwd,hatchback,2.0,turbo,gas,151.0
23,2021-10-23 04:15:50,Car550,5632.0,prism,United States,33,30,5660.0,78.0,9.09,2.94,3.42,2bbl,97,4,ohc,2031,54.7,64.0,165.7,95.2,front,fwd,hatchback,4.0,std,gas,84.0
24,2021-01-22 08:13:57,Car704,15825.0,raven,Japan,33,27,5305.0,79.0,9.06,3.32,3.22,2bbl,138,4,ohc,2826,56.0,67.9,172.0,94.9,front,fwd,wagon,4.0,std,gas,103.0
25,2019-05-09 08:08:43,Car312,9809.0,atlas,Japan,29,28,4819.0,105.0,8.22,3.51,3.44,2bbl,126,4,ohc,2376,51.4,65.5,173.2,97.7,front,fwd,hatchback,2.0,std,gas,136.0
26,2023-09-19 12:28:27,Car480,9873.0,velox,Japan,32,28,5140.0,80.0,9.13,3.39,3.13,2bbl,156,4,ohc,2725,53.3,65.6,174.2,95.9,front,fwd,hatchback,2.0,std,gas,125.0
27,2023-03-12 16:52:16,Car968,15188.0,zenith,France,28,31,4834.0,85.0,21.79,3.34,3.63,idi,152,4,l,2940,58.1,70.1,183.6,108.3,front,rwd,sedan,4.0,turbo,diesel,123.0
28,2019-04-16 13:41:44,Car393,14691.0,velox,Japan,31,27,4893.0,106.0,9.37,3.3,3.75,mpfi,127,4,ohc,3116,56.0,66.5,173.1,103.2,front,rwd,sedan,4.0,std,gas,91.0
29,2023-02-03 14:53:36,Car447,10626.0,velox,Japan,26,19,5772.0,111.0,9.49,3.37,3.25,mpfi,157,4,dohc,2976,52.4,66.4,172.3,95.6,front,rwd,hatchback,2.0,std,gas,156.0
30,2019-04-27 04:10:40,Car401,8033.0,atlas,Japan,25,24,5351.0,98.0,8.23,3.34,3.2,mpfi,102,4,rotor,2945,49.8,64.2,162.9,94.4,front,rwd,hatchback,2.0,turbo,gas,172.0
31,2022-02-01 00:56:33,Car831,8408.0,velox,Japan,29,26,4902.0,70.0,8.85,3.39,3.24,2bbl,102,4,ohc,2240,55.0,63.7,180.0,96.7,front,fwd,wagon,4.0,std,gas,85.0
32,2020-11-13 09:06:47,Car563,8031.0,prism,United States,37,30,5402.0,68.0,8.9,3.31,3.1,2bbl,89,4,ohc,1984,54.7,63.8,157.8,93.7,front,fwd,sedan,4.0,std,gas,146.0
33,2018-06-13 06:50:31,Car105,15905.0,aegis,Germany,26,21,4565.0,121.0,8.92,3.23,3.28,mpfi,168,6,ohc,2524,55.5,66.7,189.9,104.7,front,rwd,sedan,4.0,std,gas,95.0
34,2021-12-03 16:37:30,Car285,14283.0,velox,Japan,28,25,5401.0,106.0,9.89,3.26,3.82,mpfi,112,4,ohc,2917,56.1,66.9,187.3,104.3,front,rwd,sedan,4.0,std,gas,75.0
35,2021-05-06 00:35:10,Car626,8290.0,helix,Japan,29,28,5137.0,74.0,9.15,3.19,3.07,2bbl,104,4,ohc,2182,51.6,63.9,160.8,94.4,front,fwd,hatchback,2.0,std,gas,99.0
36,2020-11-27 02:50:59,Car727,19330.0,stratus,United States,27,19,5312.0,151.0,8.36,3.57,3.55,mpfi,101,4,ohc,3012,51.3,67.4,164.0,95.6,front,rwd,hatchback,2.0,turbo,gas,148.0
37,2022-08-22 07:18:08,Car854,9832.0,helios,Japan,31,24,4969.0,108.0,8.74,3.38,3.6,2bbl,106,4,ohc,2316,54.6,64.8,167.9,96.3,front,fwd,hardtop,4.0,std,gas,99.0
38,2021-08-09 01:12:02,Car485,8403.0,zenith,France,31,27,5303.0,83.0,9.06,3.24,3.4,mpfi,118,4,l,2965,57.2,66.9,185.0,103.3,front,rwd,sedan,4.0,std,gas,156.0
39,2018-06-24 02:37:00,Car499,7552.0,raven,Japan,27,28,4999.0,71.0,8.71,3.3,3.0,2bbl,109,4,ohc,2089,57.9,63.7,157.1,96.0,front,fwd,wagon,4.0,std,gas,98.0
40,2018-07-05 08:38:46,Car759,6872.0,velox,Japan,32,28,5034.0,66.0,8.76,2.93,3.15,2bbl,102,4,ohcf,2099,52.0,63.9,168.2,95.2,front,fwd,hatchback,4.0,std,gas,94.0
