Unnamed: 0,Time_Recorded,CarID,Price,manufacturer,Origin,FE_HW,FE_UR,rpm-max,Horsepower,comp_ratio,Stroke,Bore,fuel_system,Engine-size,cylinders_num,Engine-type,Curb-weight,Height,Width,Length,Wheel_Base,Engine-loc,Drive-wheels-type,vehicle_cat,doors_num,aspiration,fuel,Symboling,normalized-losses
1608,2019-12-16 04:26:41,Car642,14050.0,Raven,Japan,39,31,5170.0,74.0,9.0,3.29,3.13,2bbl,137,4,ohc,2471,52.9,65.7,167.5,96.2,front,fwd,sedan,4.0,std,gas,Safe,
173,2020-08-24 12:28:19,Car992,10934.0,AtlaS,Japan,27,17,5407.0,145.0,8.54,3.39,3.3,spdi,112,4,ohc,2359,50.9,69.8,161.2,95.9,front,rwd,hatchback,2.0,std,gas,Extreme risk,165.0
463,2022-08-27 20:34:59,Car392,7257.0,Prism,United States,28,25,4927.0,132.0,8.83,3.49,3.45,mpfi,109,4,ohc,2918,50.6,66.6,180.6,99.2,front,fwd,hatch back,2.0,std,gas,Extreme risk,146.0
2354,2018-09-23 13:20:57,Car950,7003.0,Phoenix drive,Italy,34,19,5021.0,137.0,8.9,3.27,3.09,2bbl,103,4,ohc,2216,52.1,66.6,160.7,97.3,front,rwd,hatchback,2.0,std,gas,Extreme risk,155.0
1965,2023-12-23 06:27:44,Car437,16293.0,Raven,Japan,28,20,5312.0,109.0,9.29,3.38,3.16,mpfi,167,6,ohc,3082,55.7,70.1,183.9,102.6,front,fwd,sedan,4.0,std,gas,Very safe,108.0
445,2021-10-20 22:59:40,Car683,9155.0,Velox,Japan,28,24,5346.0,162.0,9.16,3.34,3.69,mpfi,148,4,dohc,3064,52.2,68.8,171.0,101.3,front,rwd,hatchback,2.0,std,gas,Moderate risk,128.0
246,2021-12-20 15:44:29,Car668,6119.0,Stratus,United States,41,31,5322.0,68.0,9.37,3.22,3.0,2bbl,85,4,ohc,1856,54.0,64.2,169.7,93.8,front,fwd,hatchback,2.0,std,gas,Moderate risk,108.0
175,2019-03-26 04:24:50,Car768,15252.0,Kronos,Germany,30,21,4961.0,105.0,21.43,3.52,3.63,idi,153,5,ohc,3222,56.6,68.6,189.7,104.5,front,rwd,wagon,4.0,turbo,diesel,Safe,108.0
480,2020-01-16 15:52:04,Car835,11791.0,Aegis,Germany,26,20,5027.0,157.0,8.83,3.33,3.59,mpfi,117,6,ohc,2416,54.6,65.8,167.7,96.1,front,rwd,hatchback,2.0,std,gas,Safe,173.0
2071,2023-08-03 08:54:24,Car794,13314.0,Prism,United States,23,18,5082.0,127.0,7.72,3.76,3.57,mpfi,171,6,ohc,3236,51.0,67.3,171.2,102.3,front,fwd,hatchback,2.0,turbo,gas,Safe,153.0
1834,2020-05-06 09:15:29,Car396,10564.0,Velox,Japan,29,17,5053.0,115.0,9.2,3.28,3.71,mpfi,186,4,ohc,3026,52.1,66.5,175.3,97.7,front,rwd,hatch back,2.0,std,gas,High risk,
944,2020-07-20 06:28:50,Car563,,Atlas,Japan,31,27,5091.0,98.0,9.05,3.46,3.45,2bbl,118,4,ohc,2211,50.5,66.1,175.1,95.2,front,rwd,hatchback,2.0,std,gas,Extreme risk,161.0
211,2020-05-05 20:48:37,Car540,45400.0,Aegis,Germany,21,17,4840.0,177.0,8.23,3.28,3.6,mpfi,192,6,ohcv,3553,55.1,69.2,197.6,108.6,front,rwd,sedan,4.0,std,gas,Safe,148.0
693,2018-08-28 17:03:00,Car353,7395.0,Altair,Japan,42,36,5238.0,75.0,9.1,3.33,3.05,2bbl,99,4,ohc,1792,52.3,63.9,158.3,94.6,front,fwd,hatchback,2.0,std,gas,Moderate risk,126.0
